,First,Last,Nickname,Ht.,Wt.,Reach,Ht. (m),Wt. (kg),Reach. (cm),Stance,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,W,L,D
3271,Martin,Sano,Spartan,"5' 11""",170 lbs.,"75.0""",1.8,77.27,190.5,Orthodox,"May30,1991",4.0,33.0,12.0,40.0,0.0,0.0,0.0,0.0,4,3,1
3272,Jonathan,Santa Maria,,"5' 9""",125 lbs.,--,1.75,56.82,,,--,3.6,51.0,2.53,74.0,0.0,0.0,80.0,0.0,3,4,0
3273,Duda,Santana,Cowboyzinha,"5' 7""",145 lbs.,"73.0""",1.7,65.91,185.42,Orthodox,"Jan10,1996",6.01,39.0,2.72,73.0,6.44,60.0,0.0,0.0,3,1,0
3274,Shaheen,Santana,Shazam,"6' 1""",155 lbs.,"75.0""",1.85,70.45,190.5,Orthodox,"Jun04,1991",0.82,42.0,1.65,40.0,0.0,0.0,0.0,2.8,6,1,0
3275,Sean,Santella,Shorty Rock,"5' 5""",125 lbs.,--,1.65,56.82,,,"Oct25,1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6,1
3276,Jorge,Santiago,The Sandman,"6' 1""",170 lbs.,"75.0""",1.85,77.27,190.5,Orthodox,"Oct09,1980",1.69,35.0,2.62,56.0,0.58,30.0,52.0,0.8,25,12,0
3277,Mike,Santiago,,"5' 10""",145 lbs.,"69.0""",1.78,65.91,175.26,Orthodox,"Jul28,1989",3.44,49.0,3.58,36.0,2.66,50.0,53.0,1.1,19,12,0
3278,Will,Santiago,The Brown Bomber,"5' 7""",185 lbs.,--,1.7,84.09,,Orthodox,"Feb08,1983",1.47,39.0,5.53,56.0,1.0,50.0,100.0,0.0,9,5,0
3279,Richie,Santiago,The Milford Mauler,"5' 7""",135 lbs.,"67.0""",1.7,61.36,170.18,Southpaw,"Oct10,1992",3.87,49.0,4.87,42.0,0.0,0.0,25.0,0.0,7,2,0
3280,Jose,Santibanez,,--,155 lbs.,--,,70.45,,,"Jan18,1980",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0
3281,Art,Santore,Pachuco,"6' 2""",185 lbs.,--,1.88,84.09,,,"Oct26,1972",1.4,12.0,7.31,52.0,0.0,0.0,100.0,0.0,18,8,0
3282,Adriano,Santos,,--,--,--,,,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
3283,Paulo,Santos,,--,--,--,,,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0
3284,Evangelista,Santos,Cyborg,"5' 10""",170 lbs.,"76.0""",1.78,77.27,193.04,Orthodox,"Dec12,1977",3.94,36.0,6.01,49.0,0.78,100.0,50.0,0.4,21,18,0
3285,Luis,Santos,,"6' 1""",170 lbs.,--,1.85,77.27,,Southpaw,--,4.4,57.0,4.0,64.0,0.0,0.0,0.0,0.0,63,10,1
3286,Iliarde,Santos,,"5' 5""",125 lbs.,"67.0""",1.65,56.82,170.18,Orthodox,"Sep25,1980",3.0,30.0,6.1,57.0,1.66,23.0,83.0,0.0,30,13,1
3287,Leonardo,Santos,,"6' 0""",155 lbs.,"75.0""",1.83,70.45,190.5,Orthodox,"Feb05,1980",2.82,46.0,3.4,54.0,0.88,25.0,86.0,0.2,18,7,1
3288,Thiago,Santos,Marreta,"6' 2""",205 lbs.,"76.0""",1.88,93.18,193.04,Orthodox,"Jan07,1984",3.72,48.0,2.57,53.0,0.88,33.0,65.0,0.1,22,11,0
3289,Bruno,Santos,Carioca,"5' 9""",185 lbs.,--,1.75,84.09,,Orthodox,"Jul17,1987",1.18,46.0,2.27,56.0,3.0,37.0,66.0,0.3,15,2,0
3290,Andre,Santos,Chatuba,"6' 0""",170 lbs.,--,1.83,77.27,,,--,2.77,34.0,4.17,41.0,2.5,29.0,75.0,0.0,38,10,0
3291,Gleristone,Santos,Toninho Furia,"5' 9""",145 lbs.,--,1.75,65.91,,,"Aug20,1988",3.4,31.0,4.4,64.0,0.0,0.0,75.0,0.0,33,7,0
3292,Yana,Santos,,"5' 6""",135 lbs.,"68.0""",1.68,61.36,172.72,Orthodox,"Nov11,1989",4.16,56.0,3.03,50.0,1.11,53.0,42.0,0.1,14,8,0
3293,Taila,Santos,,"5' 6""",125 lbs.,"68.0""",1.68,56.82,172.72,Orthodox,"Jun22,1993",3.39,48.0,2.64,58.0,2.0,76.0,86.0,1.1,19,3,0
3294,Marilia,Santos,Chocolate,"5' 4""",125 lbs.,--,1.63,56.82,,Orthodox,"Dec12,1992",4.4,54.0,4.07,53.0,1.0,100.0,66.0,1.0,10,3,0
3295,Edivan,Santos,Pe De Sapo,"6' 4""",248 lbs.,"78.0""",1.93,112.73,198.12,Orthodox,"May03,1992",1.55,48.0,7.09,26.0,0.0,0.0,25.0,0.0,12,3,1
3296,Daniel,Santos,Willycat,"5' 7""",135 lbs.,"67.0""",1.7,61.36,170.18,Orthodox,"Mar12,1995",4.26,37.0,5.12,50.0,1.9,50.0,73.0,0.0,12,2,0
3297,Gabriel,Santos,Mosquitinho,"5' 9""",145 lbs.,"70.0""",1.75,65.91,177.8,Orthodox,"Nov28,1996",4.46,55.0,6.03,44.0,4.34,46.0,66.0,1.2,10,2,0
3298,Luana,Santos,,"5' 6""",135 lbs.,"67.0""",1.68,61.36,170.18,Orthodox,"Apr16,2000",6.21,55.0,3.64,64.0,1.61,50.0,66.0,0.0,7,1,0
3299,Nick,Sanzo,,"5' 9""",190 lbs.,--,1.75,86.36,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
3300,Bob,Sapp,The Beast,"6' 5""",350 lbs.,--,1.96,159.09,,Orthodox,"Sep22,1974",3.19,55.0,1.88,49.0,0.58,100.0,72.0,0.0,11,20,0
3301,Daniel,Sarafian,,"5' 9""",185 lbs.,"73.0""",1.75,84.09,185.42,Orthodox,"Aug21,1982",2.23,46.0,3.1,58.0,0.36,7.0,53.0,0.7,10,6,0
3302,Jeka,Saragih,,"5' 8""",145 lbs.,"69.0""",1.73,65.91,175.26,Orthodox,"Jan01,1995",2.76,50.0,2.84,40.0,2.37,100.0,66.0,0.6,14,3,0
3303,Diego,Saraiva,The Octopus,"5' 6""",155 lbs.,--,1.68,70.45,,Orthodox,"Apr23,1982",1.64,32.0,3.58,62.0,1.33,40.0,0.0,0.7,22,20,1
3304,Harris,Sarmiento,The Hitman,"5' 9""",155 lbs.,--,1.75,70.45,,Orthodox,"Sep09,1983",0.84,25.0,3.46,36.0,2.36,60.0,57.0,0.0,36,26,0
3305,Alexander,Sarnavskiy,Tiger,"5' 11""",155 lbs.,--,1.8,70.45,,,"Jan17,1989",1.43,66.0,2.06,42.0,0.0,0.0,75.0,0.0,35,6,0
3306,Yuki,Sasaki,,"6' 2""",185 lbs.,--,1.88,84.09,,Orthodox,"Sep12,1976",1.09,43.0,1.2,57.0,0.43,100.0,66.0,0.0,25,22,2
3307,Kyosuke,Sasaki,,"5' 7""",183 lbs.,--,1.7,83.18,,Southpaw,--,0.33,45.0,0.93,46.0,0.0,0.0,0.0,0.0,3,7,4
3308,Yuta,Sasaki,Ulka,"5' 10""",125 lbs.,"71.0""",1.78,56.82,180.34,Southpaw,"Oct07,1989",2.16,41.0,2.5,50.0,3.03,43.0,41.0,1.2,21,6,2
3309,Paul,Sass,,"6' 0""",155 lbs.,"73.0""",1.83,70.45,185.42,Orthodox,"Aug04,1988",0.53,26.0,1.9,51.0,0.53,16.0,33.0,7.4,14,2,0
3310,Keisuke,Sasu,Sasuke,"5' 5""",145 lbs.,"69.0""",1.65,65.91,175.26,Switch,"Sep30,1994",2.76,49.0,2.42,48.0,3.76,40.0,61.0,1.9,11,3,1
3311,Masaaki,Satake,,"6' 1""",220 lbs.,--,1.85,100.0,,Orthodox,"Aug17,1965",1.4,35.0,3.76,41.0,0.0,0.0,58.0,0.0,1,8,1
3312,Takenori,Sato,,"5' 10""",170 lbs.,--,1.78,77.27,,Southpaw,"Jun08,1985",0.46,33.0,12.92,9.0,0.0,0.0,0.0,0.0,19,11,7
3313,Takashi,Sato,Ten,"5' 10""",170 lbs.,"73.0""",1.78,77.27,185.42,Southpaw,"Jun09,1990",2.21,41.0,3.73,44.0,0.76,37.0,60.0,0.0,16,7,0
3314,Jeimeson,Saudino,The Minion,"5' 6""",135 lbs.,--,1.68,61.36,,,"Mar05,1991",0.66,30.0,0.82,84.0,2.47,50.0,0.0,2.5,8,5,0
3315,Tom,Sauer,,"6' 1""",263 lbs.,--,1.85,119.55,,,"Nov11,1970",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,12,0
3316,Townsend,Saunders,,"5' 5""",170 lbs.,--,1.65,77.27,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
3317,Ben,Saunders,Killa B,"6' 2""",170 lbs.,"77.0""",1.88,77.27,195.58,Orthodox,"Apr13,1983",3.23,50.0,3.58,51.0,0.2,40.0,66.0,1.3,22,13,2
3318,Chad W.,Saunders,,"5' 10""",170 lbs.,--,1.78,77.27,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,0
